t	ay
3.157474	-0.0603
3.157535	-0.0161
3.177362	0.058
3.178918	-0.027
3.186359	-0.0595
3.202584	-0.1297
3.210524	-0.1003
3.218562	-0.0375
3.226862	0.0251
3.243474	0.0069
3.254252	-0.0548
3.259272	-0.0877
3.27109	-0.0873
3.287205	-0.0098
3.290923	0.0385
3.304149	0.0916
3.306815	0.1351
3.321084	0.1308
3.338212	-0.0647
3.339355	0.0411
3.355241	0.683
3.362479	-0.2117
3.37145	-0.3544
3.37868	-0.4205
3.386878	-0.3528
3.404444	-0.0932
3.411315	0.1179
3.419522	0.1521
3.427253	0.1385
3.438257	0.1825
3.453339	-0.0503
3.458322	-0.0926
3.470199	-0.0823
3.487408	-0.0858
3.49146	-0.0373
3.503136	-0.0559
3.507247	-0.0745
3.520463	0.0697
3.540989	0.0181
3.541254	-0.0245
3.552014	-0.1101
3.569053	-0.071
3.571649	0.0058
3.579574	0.0539
3.587	0.011
3.604805	0.0163
3.611043	-0.0791
3.619037	-0.117
3.627	-0.0593
3.639245	0.1229
3.653537	-0.1253
3.660202	-0.1775
3.672021	-0.2203
3.697801	-0.1579
3.733015	0.0191
3.76512	0.1092
3.77868	-0.1777
3.795749	-0.2877
3.79584	-0.2445
3.809676	-0.254
3.83235	-0.0824
3.832408	0.0749
3.842667	0.0635
3.869066	-0.0522
3.897139	-0.0792
3.897229	0.1309
3.904374	0.0151
3.9301	0.305
3.942608	0.1641
3.966709	0.1183
3.966833	0.1317
3.977263	-0.0607
3.987716	-0.3446
3.995412	-0.0867
4.014965	-0.1306
4.015093	-0.2177
4.02013	-0.2092
4.047771	0.2576
4.047899	0.2803
4.055767	0.1833
4.070429	0.0326
4.075543	0.1273
4.093443	0.5142
4.093504	0.5137
4.116123	0.5229
4.116183	0.4846
4.123466	0.3226
4.144709	0.0311
4.144826	-0.2413
4.159537	-0.5715
4.164003	-0.543
4.175439	-0.5099
4.189906	-0.2997
4.197064	0.1925
4.203327	0.3116
4.211253	0.2778
4.221595	0.2011
4.236975	0.0245
4.242878	-0.0612
4.252624	-0.3434
4.270266	-0.5928
4.275363	-0.1002
4.287205	0.1192
4.291591	0.6214
4.304419	0.578
4.320076	0.1954
4.322592	-0.0196
4.330706	-0.2011
4.346918	0.0916
4.355347	0.0293
4.36457	-0.1525
4.373333	-0.0471
4.389638	0.0294
4.395265	0.0099
4.40323	0.0426
4.411005	-0.4229
4.422709	-0.3187
4.438248	-0.3744
4.443319	-0.2083
4.453598	0.0202
4.471233	0.2798
4.475343	0.2775
4.487618	0.347
4.491163	0.2155
4.505297	-0.0067
4.52074	0.2159
4.523824	0.1764
4.538623	-0.0308
4.54714	-0.4213
4.555479	0.1043
4.563122	0.5389
4.572339	0.4996
4.587149	0.3456
4.596533	0.1062
4.603606	0.0247
4.611786	-0.3011
4.622177	-0.3157
4.635976	0.0138
4.643147	0.128
4.654739	0.2088
4.671124	0.2849
4.675335	0.1892
4.694483	-0.0454
4.694582	-0.2082
4.705104	0.2177
4.719669	-0.5397
4.723002	0.2645
4.731061	-0.1288
4.746864	0.0528
4.755495	0.3107
4.763614	0.5548
4.772682	0.6842
4.789053	0.8581
4.795813	0.7495
4.805788	0.5456
4.811141	0.2172
4.822314	-0.326
4.840106	-0.8579
4.843639	-0.22
4.855696	0.1293
4.871188	-0.0149
4.875611	0.619
4.899243	0.2999
4.899378	0.1438
4.911389	-0.3449
4.930522	-0.3714
4.944962	-0.4831
4.966093	0.051
4.966182	0.2669
4.976199	0.3248
4.998225	0.1391
4.998314	0.0107
5.0081	-0.0744
5.011691	-0.2171
5.035213	-0.3455
5.035296	-0.4214
5.045512	-0.3966
5.06585	-0.3486
5.065995	-0.2003
5.071852	-0.0807
5.092158	0.1731
5.09223	0.1924
5.112435	0.2165
5.112494	0.116
5.133867	-0.0036
5.133945	-0.0754
5.146879	-0.0278
5.163452	0.063
5.163555	0.0103
5.172945	0.0343
5.187104	0.0058
5.19542	-0.0276
5.203094	0.011
5.210817	0.0017
5.220904	0.0452
5.237445	0.0894
5.24344	0.0613
5.254287	0.0426
5.270702	0.082
5.275495	0.006
5.289074	-0.0557
5.291642	0.007
5.306278	-0.1028
5.325162	-0.074
5.325252	0.0026
5.332378	0.0696
5.34055	0.1128
5.356019	-0.0545
5.364585	-0.0687
5.372516	-0.1597
5.390376	-0.088
5.395991	0.0028
5.404516	0.0745
5.412226	0.1079
5.424261	0.0839
5.437046	-0.1609
5.443253	0.0635
5.456759	0.1397
5.472891	0.0776
5.47552	0.102
5.489775	0.1026
5.491373	0.0554
5.506241	-0.0013
5.522112	-0.062
5.522757	0.0197
5.530748	0.0055
